Source:,/home/markd/Documents/Solar/charger/charger.sch,,,,,,
Date:,Thu 29 Oct 2020 11:03:08 PM CDT,,,,,,
Tool:,Eeschema 5.1.5-1.fc30,,,,,,
Generator:,/usr/share/kicad/plugins/bom_csv_grouped_by_value.py,,,,,,
Component Count:,100,,,,,,
,,,,,,,
Individual Components:,,,,,,,
,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,,Datasheet
,,R30,1k,Device:R_Small_US,Resistor_SMD:R_1206_3216Metric,,~
,,R31,3,Device:R_Small_US,Resistor_SMD:R_1206_3216Metric,,~
,,U1,MSP432,MSP_mwd:MSP432,MWD_Footprints:MSP432,,
,,U2,NCP718xSN500,Regulator_Linear:NCP718xSN500,Package_TO_SOT_SMD:SOT-23-5,,https://www.onsemi.com/pub/Collateral/NCP718-D.PDF
,,U3,UCC27517DBVR,MSP_mwd:Generic_SOT23-5,Package_TO_SOT_SMD:SOT-23-5,,http://www.ti.com/general/docs/suppproductinfo.tsp?distId=26&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fucc27517
,,U4,INA240A2PW,Amplifier_Current:INA240A2PW,Package_SO:TSSOP-8_4.4x3mm_P0.65mm,,http://www.ti.com/lit/ds/symlink/ina240.pdf
,,U5,LM5109BMA,Driver_FET:LM5109BMA,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,,http://www.ti.com/lit/ds/symlink/lm5109b.pdf
,,U6,LM5109BMA,Driver_FET:LM5109BMA,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,,http://www.ti.com/lit/ds/symlink/lm5109b.pdf
,,U7,INA240A2PW,Amplifier_Current:INA240A2PW,Package_SO:TSSOP-8_4.4x3mm_P0.65mm,,http://www.ti.com/lit/ds/symlink/ina240.pdf
,,U8,LM5009MM,Regulator_Switching:LM5009MM,Package_SO:MSOP-8_3x3mm_P0.65mm,,http://www.ti.com/lit/ds/symlink/lm5009.pdf
,,U9,AP131-33,Regulator_Linear:AP131-33,Package_TO_SOT_SMD:SOT-23-5,,http://www.diodes.com/_files/datasheets/AP131.pdf
,,U10,LM321,Amplifier_Operational:LM321,Package_TO_SOT_SMD:SOT-23-5,,http://www.ti.com/lit/ds/symlink/lm321.pdf
,,U11,LM321,Amplifier_Operational:LM321,Package_TO_SOT_SMD:SOT-23-5,,http://www.ti.com/lit/ds/symlink/lm321.pdf
,,,,,,,
,,,,,,,
,,,,,,,
Collated Components:,,,,,,,
,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Vendor Link,Datasheet
1,6,"C1, C2,C16, C17, C30, C32",1 uF,Device:C_Small,Capacitor_SMD:C_1206_3216Metric,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL31B105KBHNFNE/3888749,~
2,10,"C3, C8, C18, C19, C20, C21, C22, C27, C29,C34",0.1 uF,Device:C,Capacitor_SMD:C_1206_3216Metric,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL31B104KBCNNNC/3886675,~
3,2,"C4, C5",1200 uF,Device:CP,Capacitor_THT:CP_Radial_D25.0mm_P10.00mm_SnapIn,https://www.digikey.com/en/products/detail/rubycon/100MXG1200MEFCSN25X25/3565205,https://www.mouser.com/ProductDetail/Nichicon/LLS2A122MELA?qs=CTiUoleKpMElkeBijh%2FajQ%3D%3D
4,5,"C6, C7, C9, C10, C11",4.7 uF,Device:C,Capacitor_SMD:C_1206_3216Metric,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL31B475KAHNNNE/3886713,~
5,2,"C12, C13",560 uF,Device:C,Capacitor_SMD:C_1206_3216Metric,https://www.digikey.com/en/products/detail/rubycon/10AX560MEFC8X9/4842240,~
6,2,"C14, C15",220 uF,Device:C,Capacitor_SMD:C_1206_3216Metric,https://www.digikey.com/en/products/detail/nichicon/UVR1E221MPD1TD/3438478,~
8,2,"C23, C24",1000 pF,Device:C,Capacitor_SMD:C_1206_3216Metric,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/885012208075/5453970,~
